LINE, GTIN, ATC, NAME, UNIT, TYPE
1,EAN7680002770014,J06AA,Coeur-Vaisseaux Sérocytol suppositoire,24,mg
2,EAN7680002770021,J06AA,Coeur-Vaisseaux Sérocytol suppositoire,72,mg
3,EAN7680002780013,J06AA,Colon Sérocytol suppositoire,24,mg
4,EAN7680002780020,J06AA,Colon Sérocytol suppositoire,72,mg
5,EAN7680002790012,J06AA,Conjonctif Sérocytol suppositoire,24,mg
6,EAN7680002790029,J06AA,Conjonctif Sérocytol suppositoire,72,mg
7,EAN7680002820016,J06AA,Diencéphale Sérocytol suppositoire,24,mg
8,EAN7680002820023,J06AA,Diencéphale Sérocytol suppositoire,72,mg
9,EAN7680002840014,J06AA,Disques vertebraux Sérocytol suppositoire,24,mg
10,EAN7680002840021,J06AA,Disques vertebraux Sérocytol suppositoire,72,mg
11,EAN7680002860012,J06AA,DVPF Sérocytol suppositoire,24,mg
12,EAN7680002860029,J06AA,DVPF Sérocytol suppositoire,72,mg
13,EAN7680002880010,J06AA,Emonctoires Sérocytol suppositoire,24,mg
14,EAN7680002880027,J06AA,Emonctoires Sérocytol suppositoire,72,mg
15,EAN7680002940011,J06AA,Foie Sérocytol suppositoire,24,mg
16,EAN7680002940028,J06AA,Foie Sérocytol suppositoire,72,mg
17,EAN7680002950010,J06AA,Génital F Sérocytol suppositoire,24,mg
18,EAN7680002950027,J06AA,Génital F Sérocytol suppositoire,72,mg
19,EAN7680002960019,J06AA,Génital M Sérocytol suppositoire,24,mg
20,EAN7680002960026,J06AA,Génital M Sérocytol suppositoire,72,mg
21,EAN7680002990016,J06AA,Pulmo-Neural Sérocytol suppositoire,24,mg
22,EAN7680002990023,J06AA,Pulmo-Neural Sérocytol suppositoire,72,mg
23,EAN7680003000011,J06AA,Hépato-Vasculo-Rectal Sérocytol suppositoire,24,mg
24,EAN7680003000028,J06AA,Hépato-Vasculo-Rectal Sérocytol suppositoire,72,mg
25,EAN7680003060015,J06AA,Malpighien Sérocytol suppositoire,24,mg
26,EAN7680003060022,J06AA,Malpighien Sérocytol suppositoire,72,mg
27,EAN7680003090012,J06AA,Muqueuse urinaire Sérocytol suppositoire,24,mg
28,EAN7680003090029,J06AA,Muqueuse urinaire Sérocytol suppositoire,72,mg
29,EAN7680003130015,J06AA,Nerveux central Sérocytol suppositoire,24,mg
30,EAN7680003130022,J06AA,Nerveux central Sérocytol suppositoire,72,mg
31,EAN7680003140014,J06AA,Neuro-Vasculaire Sérocytol suppositoire,24,mg
32,EAN7680003140021,J06AA,Neuro-Vasculaire Sérocytol suppositoire,72,mg
33,EAN7680003150013,J06AA,Oeil Sérocytol suppositoire,24,mg
34,EAN7680003150020,J06AA,Oeil Sérocytol suppositoire,72,mg
35,EAN7680003160012,J06AA,OFB Sérocytol suppositoire,24,mg
36,EAN7680003160029,J06AA,OFB Sérocytol suppositoire,72,mg
37,EAN7680003280017,J06AA,Broncho-Poumons Sérocytol suppositoire,24,mg
38,EAN7680003280024,J06AA,Broncho-Poumons Sérocytol suppositoire,72,mg
39,EAN7680003300012,J06AA,Reins Sérocytol suppositoire,24,mg
40,EAN7680003300029,J06AA,Reins Sérocytol suppositoire,72,mg
41,EAN7680003320010,J06AA,Articulaire Sérocytol suppositoire,24,mg
42,EAN7680003320027,J06AA,Articulaire Sérocytol suppositoire,72,mg
43,EAN7680003340018,J06AA,Sinus Sérocytol suppositoire,24,mg
44,EAN7680003340025,J06AA,Sinus Sérocytol suppositoire,72,mg
45,EAN7680003350017,J06AA,S.R.E. Sérocytol suppositoire,24,mg
46,EAN7680003350024,J06AA,S.R.E. Sérocytol suppositoire,72,mg
47,EAN7680003380014,J06AA,Sympathique total Sérocytol suppositoire,24,mg
48,EAN7680003380021,J06AA,Sympathique total Sérocytol suppositoire,72,mg
49,EAN7680003390013,J06AA,Tendino-Musculaire Sérocytol suppositoire,24,mg
50,EAN7680003390020,J06AA,Tendino-Musculaire Sérocytol suppositoire,72,mg
51,EAN7680003730116,J07BB02,Mutagrip Suspension zur Injektion,NA,mg
52,EAN7680003730123,J07BB02,Mutagrip Suspension zur Injektion,NA,mg
53,EAN7680003730130,J07BB02,Mutagrip suspension injectable,NA,mg
54,EAN7680003730147,J07BB02,Mutagrip suspension injectable,NA,mg
55,EAN7680003730154,J07BB02,Mutagrip suspension injectable,NA,mg
56,EAN7680003730161,J07BB02,Mutagrip suspension injectable,NA,mg
57,EAN7680003730178,J07BB02,Mutagrip suspension injectable,NA,mg
58,EAN7680003730185,J07BB02,Mutagrip suspension injectable,NA,mg
59,EAN7680004170027,J07BG01,Tollwut Impfstoff Mérieux solution injectable,NA,mg
60,EAN7680004500015,J07BA01,FSME-Immun CC Suspension zur intramuskulären Injektion,NA,mg
61,EAN7680004500022,J07BA01,FSME-Immun CC Suspension zur intramuskulären Injektion,NA,mg
62,EAN7680004500039,J07BA01,FSME-Immun CC Suspension zur intramuskulären Injektion,NA,mg
63,EAN7680004500046,J07BA01,FSME-Immun CC Suspension zur intramuskulären Injektion,NA,mg
64,EAN7680004670015,J07AP01,Vivotif Kapseln,NA,mg
65,EAN7680004850110,J07BB02,Influvac Injektionssuspension,NA,mg
66,EAN7680004850127,J07BB02,Influvac Injektionssuspension,NA,mg
67,EAN7680004850134,J07BB02,Influvac Injektionssuspension,NA,mg
68,EAN7680004850141,J07BB02,Influvac Injektionssuspension,NA,mg
69,EAN7680004850158,J07BB02,Influvac Injektionssuspension,NA,mg
70,EAN7680004850165,J07BB02,Influvac Injektionssuspension,NA,mg
71,EAN7680004850172,J07BB02,Influvac Injektionssuspension,NA,mg
72,EAN7680004850189,J07BB02,Influvac Injektionssuspension,NA,mg
73,EAN7680004880018,J06BB04,Hepatect CP Infusionslösung,NA,mg
74,EAN7680004880025,J06BB04,Hepatect CP Infusionslösung,NA,mg
75,EAN7680004880049,J06BB04,Hepatect CP Infusionslösung,NA,mg
